,Type,Start,End,Population,ODE,Rt,rho,sigma,1/beta [day],1/gamma [day],tau,RMSLE,Trials,Runtime
0th,Past,10Mar2020,21Mar2020,267663435,SIR,7.93,0.29559202203098567,0.037280944072559746,3.0,26.0,1440,0.13597203072875536,275.0,0 min  7 sec
1st,Past,22Mar2020,30Mar2020,267663435,SIR,8.61,0.15587022381771967,0.018112406288286965,6.0,55.0,1440,0.06335228163049561,164.0,0 min  4 sec
2nd,Past,31Mar2020,07Apr2020,267663435,SIR,5.13,0.09683861985333514,0.018878664426685385,10.0,52.0,1440,0.02868646657771334,307.0,0 min  8 sec
3rd,Past,08Apr2020,15Apr2020,267663435,SIR,4.78,0.10034322007502026,0.020997780043059452,9.0,47.0,1440,0.02380202180543212,346.0,0 min  9 sec
4th,Past,16Apr2020,29Apr2020,267663435,SIR,4.04,0.05881809315500442,0.014574692921511121,17.0,68.0,1440,0.02170649893985555,250.0,0 min  6 sec
5th,Past,30Apr2020,14May2020,267663435,SIR,2.68,0.043451179358597894,0.016212847886547928,23.0,61.0,1440,0.0135905294146029,310.0,0 min  8 sec
6th,Past,15May2020,27May2020,267663435,SIR,2.86,0.045827575734756425,0.016019772443433028,21.0,62.0,1440,0.01131717533335713,338.0,0 min  9 sec
7th,Past,28May2020,10Jun2020,267663435,SIR,1.52,0.037752939065117126,0.024871889340957017,26.0,40.0,1440,0.013551730341017086,341.0,0 min  9 sec
8th,Past,11Jun2020,24Jun2020,267663435,SIR,1.71,0.04630037017795637,0.027114835873303746,21.0,36.0,1440,0.012375291457329157,287.0,0 min  7 sec
9th,Past,25Jun2020,06Jul2020,267663435,SIR,1.44,0.045808066839645924,0.03188363991588777,21.0,31.0,1440,0.0060193457870440096,49.0,0 min  1 sec
10th,Past,07Jul2020,18Jul2020,267663435,SIR,1.56,0.050368838560264646,0.03219764863149516,19.0,31.0,1440,0.020651331383297018,173.0,0 min  4 sec
11th,Past,19Jul2020,29Jul2020,267663435,SIR,1.01,0.04778852311343091,0.047089357420789325,20.0,21.0,1440,0.005070057762345821,49.0,0 min  1 sec
12th,Past,30Jul2020,12Aug2020,267663435,SIR,1.1,0.048811574026433546,0.04453963698050177,20.0,22.0,1440,0.00576831970559833,51.0,0 min  1 sec
13th,Past,13Aug2020,27Aug2020,267663435,SIR,0.98,0.05309150363616386,0.05420901797556777,18.0,18.0,1440,0.01962254133477357,209.0,0 min  5 sec
14th,Past,28Aug2020,09Sep2020,267663435,SIR,1.51,0.07282887334414731,0.048133196457792064,13.0,20.0,1440,0.008712243952562804,455.0,0 min 13 sec
15th,Past,10Sep2020,22Sep2020,267663435,SIR,1.22,0.06859358542036002,0.056011989255215756,14.0,17.0,1440,0.00900635649072723,246.0,0 min  6 sec
16th,Past,23Sep2020,06Oct2020,267663435,SIR,1.09,0.06878721501657316,0.06287833084279848,14.0,15.0,1440,0.0066914885707342955,48.0,0 min  1 sec
17th,Past,07Oct2020,21Oct2020,267663435,SIR,1.0,0.0650642434098603,0.06511526743690917,15.0,15.0,1440,0.0143800859973114,321.0,0 min  8 sec
18th,Past,22Oct2020,31Oct2020,267663435,SIR,0.88,0.0596454675794964,0.06799304336684836,16.0,14.0,1440,0.006923039832211364,46.0,0 min  1 sec
19th,Past,01Nov2020,09Nov2020,267663435,SIR,0.89,0.06305757762588335,0.07106926418863327,15.0,14.0,1440,0.010609046169114419,47.0,0 min  1 sec
20th,Past,10Nov2020,17Nov2020,267663435,SIR,1.33,0.07755714377056021,0.058448004583854164,12.0,17.0,1440,0.010207999501230799,237.0,0 min  6 sec
21st,Past,18Nov2020,25Nov2020,267663435,SIR,1.17,0.07593579666225686,0.06478158839819362,13.0,15.0,1440,0.0037971969003543844,50.0,0 min  1 sec
22nd,Past,26Nov2020,08Dec2020,267663435,SIR,1.35,0.07981734898265762,0.059077059851365375,12.0,16.0,1440,0.010633021769154155,93.0,0 min  2 sec
23rd,Past,09Dec2020,21Dec2020,267663435,SIR,1.26,0.06983811998335139,0.05522941202432665,14.0,18.0,1440,0.00657719935715554,45.0,0 min  1 sec
24th,Past,22Dec2020,05Jan2021,267663435,SIR,1.07,0.06703762319072619,0.06238329604720275,14.0,16.0,1440,0.007931272188003801,48.0,0 min  1 sec
25th,Past,06Jan2021,17Jan2021,267663435,SIR,1.37,0.0839981672742227,0.06152821913574256,11.0,16.0,1440,0.008136959481585819,253.0,0 min  6 sec
26th,Past,18Jan2021,26Jan2021,267663435,SIR,1.28,0.07808099600978209,0.06097921716268888,12.0,16.0,1440,0.006185221313150195,347.0,0 min  9 sec
27th,Past,27Jan2021,03Feb2021,267663435,SIR,1.18,0.07611992870974522,0.06426031189569294,13.0,15.0,1440,0.010501497792845068,321.0,0 min  8 sec
28th,Past,04Feb2021,14Feb2021,267663435,SIR,0.89,0.05824983335080703,0.065414164233685,17.0,15.0,1440,0.010840676518867201,364.0,0 min  9 sec
29th,Past,15Feb2021,22Feb2021,267663435,SIR,1.01,0.05943059749591662,0.05905569604509771,16.0,16.0,1440,0.00845615099764092,422.0,0 min 11 sec
30th,Past,23Feb2021,05Mar2021,267663435,SIR,0.88,0.04673405876199698,0.053400366802623576,21.0,18.0,1440,0.008627035162436706,50.0,0 min  1 sec
31st,Past,06Mar2021,15Mar2021,267663435,SIR,0.84,0.0401241861082082,0.047815658383366384,24.0,20.0,1440,0.004181271047661134,51.0,0 min  1 sec
32nd,Past,16Mar2021,24Mar2021,267663435,SIR,0.85,0.0441477181637169,0.05191329723390947,22.0,19.0,1440,0.005977165563143455,46.0,0 min  1 sec
33rd,Past,25Mar2021,04Apr2021,267663435,SIR,0.89,0.03959817483479936,0.0446257902473369,25.0,22.0,1440,0.005590907148156166,46.0,0 min  1 sec
34th,Past,05Apr2021,15Apr2021,267663435,SIR,0.89,0.04909247275049992,0.055319651169061713,20.0,18.0,1440,0.004463077324691317,45.0,0 min  1 sec
35th,Past,16Apr2021,28Apr2021,267663435,SIR,0.89,0.051995849696205756,0.05874196255949601,19.0,17.0,1440,0.008905747224686247,45.0,0 min  1 sec
36th,Past,29Apr2021,08May2021,267663435,SIR,0.97,0.056290697610505175,0.05791663385775526,17.0,17.0,1440,0.005068852652200889,50.0,0 min  1 sec
37th,Past,09May2021,22May2021,267663435,SIR,0.86,0.05642947807708566,0.06565199138635068,17.0,15.0,1440,0.013928980738163373,51.0,0 min  1 sec
38th,Past,23May2021,02Jun2021,267663435,SIR,1.23,0.05863731467976334,0.04765292211693876,17.0,20.0,1440,0.008604826925974836,180.0,0 min  4 sec
39th,Past,03Jun2021,13Jun2021,267663435,SIR,1.27,0.07345538095813083,0.057755712844309186,13.0,17.0,1440,0.009261915899922504,399.0,0 min 10 sec
40th,Past,14Jun2021,22Jun2021,267663435,SIR,1.58,0.09492001391180023,0.059916577147753954,10.0,16.0,1440,0.010335821491845578,50.0,0 min  1 sec
41st,Past,23Jun2021,01Jul2021,267663435,SIR,2.26,0.10729331251781504,0.047421241827071935,9.0,21.0,1440,0.008664969237948541,221.0,0 min  5 sec
42nd,Past,02Jul2021,15Jul2021,267663435,SIR,1.68,0.10622278684675361,0.0633530125815091,9.0,15.0,1440,0.02298208845844098,277.0,0 min  6 sec
43rd,Past,16Jul2021,26Jul2021,267663435,SIR,1.25,0.08008717592969507,0.06391237513113955,12.0,15.0,1440,0.01766004868574186,359.0,0 min  6 sec
44th,Past,27Jul2021,05Aug2021,267663435,SIR,0.94,0.07058814519232054,0.07508950379812208,14.0,13.0,1440,0.01543377892122414,357.0,0 min  6 sec
45th,Past,06Aug2021,13Aug2021,267663435,SIR,0.66,0.05388790911447195,0.08170660032448615,18.0,12.0,1440,0.008194522812275439,72.0,0 min  1 sec
46th,Past,14Aug2021,23Aug2021,267663435,SIR,0.6,0.05237885602344833,0.08780949450020963,19.0,11.0,1440,0.017508687967257002,74.0,0 min  1 sec
47th,Past,24Aug2021,07Sep2021,267663435,SIR,0.4,0.03730082048528148,0.09277226194918342,26.0,10.0,1440,0.01347774813583905,74.0,0 min  1 sec
